Unique ID, Generation, Average Fitness, Best Fitness
21,1,7.546715689520419E-6,8.28761516365392E-6
21,2,7.546720570393019E-6,8.28761516365392E-6
21,3,7.546727834964851E-6,8.28761516365392E-6
21,4,7.5467299584249434E-6,8.28761516365392E-6
21,5,7.546734706978724E-6,8.28761516365392E-6
21,6,7.546735767062488E-6,8.28761516365392E-6
21,7,7.546743955461842E-6,8.28761516365392E-6
21,8,7.546744887289509E-6,8.28761516365392E-6
21,9,7.546753476218687E-6,8.28761516365392E-6
21,10,7.546760950874474E-6,8.28761516365392E-6
21,11,7.5467646459660875E-6,8.28761516365392E-6
21,12,7.54677232932024E-6,8.28761516365392E-6
21,13,7.546778611440272E-6,8.28761516365392E-6
21,14,7.546787796513699E-6,8.28761516365392E-6
21,15,7.5467905972993465E-6,8.28761516365392E-6
21,16,7.546795983741713E-6,8.28761516365392E-6
21,17,7.54680298097289E-6,8.28761516365392E-6
21,18,7.546805629164136E-6,8.28761516365392E-6
21,19,7.54680832190224E-6,8.28761516365392E-6
21,20,7.54681332086472E-6,8.28761516365392E-6
21,21,7.546826038924055E-6,8.28761516365392E-6
21,22,7.546835650453093E-6,8.28761516365392E-6
21,23,7.546843423250145E-6,8.28761516365392E-6
21,24,7.546847132187719E-6,8.28761516365392E-6
21,25,7.546849872755718E-6,8.28761516365392E-6
21,26,7.546851521716375E-6,8.28761516365392E-6
21,27,7.546855213432974E-6,8.28761516365392E-6
21,28,7.546861364540311E-6,8.28761516365392E-6
21,29,7.546868465326459E-6,8.28761516365392E-6
21,30,7.546870622930488E-6,8.28761516365392E-6
21,31,7.546873339961446E-6,8.28761516365392E-6
21,32,7.5468759347666765E-6,8.28761516365392E-6
21,33,7.546884169201096E-6,8.28761516365392E-6
21,34,7.546890072114223E-6,8.28761516365392E-6
21,35,7.546894030621974E-6,8.28761516365392E-6
21,36,7.54689982403805E-6,8.28761516365392E-6
21,37,7.546906410969904E-6,8.28761516365392E-6
21,38,7.546910954346235E-6,8.28761516365392E-6
21,39,7.546919781567227E-6,8.28761516365392E-6
21,40,7.546921540635604E-6,8.28761516365392E-6
21,41,7.546927149008356E-6,8.28761516365392E-6
