unique_id,generation,average_fitness,best_fitness
22,1,7.546141347664808E-6,8.354679720665595E-6
22,2,7.546155074072688E-6,8.354679720665595E-6
22,3,7.546168515653836E-6,8.354679720665595E-6
22,4,7.546177440909354E-6,8.354679720665595E-6
22,5,7.546191506738344E-6,8.354679720665595E-6
22,6,7.5462022946271E-6,8.354679720665595E-6
22,7,7.546215273102357E-6,8.354679720665595E-6
22,8,7.546232068518787E-6,8.386103662553416E-6
22,9,7.546248440882585E-6,8.386103662553416E-6
22,10,7.546260896450067E-6,8.386103662553416E-6
22,11,7.5462750419991885E-6,8.386103662553416E-6
22,12,7.546291256232178E-6,8.386103662553416E-6
22,13,7.546307832187406E-6,8.386103662553416E-6
22,14,7.54631797200646E-6,8.386103662553416E-6
22,15,7.546327770484747E-6,8.386103662553416E-6
22,16,7.546339411319763E-6,8.386103662553416E-6
22,17,7.546355092016452E-6,8.386103662553416E-6
22,18,7.5463701891529975E-6,8.386103662553416E-6
22,19,7.54638301140247E-6,8.386103662553416E-6
22,20,7.546396716648E-6,8.386103662553416E-6
22,21,7.546412322585477E-6,8.386103662553416E-6
22,22,7.546428001058359E-6,8.386103662553416E-6
22,23,7.546440361946206E-6,8.386103662553416E-6
22,24,7.546454941934953E-6,8.386103662553416E-6
22,25,7.546471872085662E-6,8.39336880102997E-6
22,26,7.54648833324476E-6,8.39336880102997E-6
22,27,7.546501611459462E-6,8.39336880102997E-6
22,28,7.546514997500894E-6,8.39336880102997E-6
22,29,7.546529925204145E-6,8.39336880102997E-6
22,30,7.5465472239082205E-6,8.411966791429002E-6
22,31,7.5465623748749825E-6,8.411966791429002E-6
22,32,7.546576410254108E-6,8.411966791429002E-6
22,33,7.546591578121451E-6,8.411966791429002E-6
22,34,7.546610341598618E-6,8.485384631214209E-6
22,35,7.546625059313442E-6,8.485384631214209E-6
22,36,7.546644339820688E-6,8.51132523935557E-6
22,37,7.546659483114288E-6,8.51132523935557E-6
22,38,7.546676194476589E-6,8.51132523935557E-6
22,39,7.546692390106214E-6,8.51132523935557E-6
22,40,7.54670968210648E-6,8.51132523935557E-6
22,41,7.546727575157364E-6,8.51132523935557E-6
22,42,7.546744863226089E-6,8.51132523935557E-6
22,43,7.546764272877735E-6,8.518042650873663E-6
22,44,7.5467847379209555E-6,8.570896430769714E-6
22,45,7.5468013562964215E-6,8.570896430769714E-6
22,46,7.546821819780775E-6,8.570896430769714E-6
22,47,7.5468407672676655E-6,8.570896430769714E-6
22,48,7.546858807038967E-6,8.570896430769714E-6
22,49,7.5468771762609276E-6,8.570896430769714E-6
22,50,7.54689763659489E-6,8.570896430769714E-6
22,51,7.546918096111256E-6,8.570896430769714E-6
22,52,7.546935925460154E-6,8.570896430769714E-6
22,53,7.546955475076576E-6,8.570896430769714E-6
22,54,7.5469759322111275E-6,8.570896430769714E-6
22,55,7.546996388528276E-6,8.570896430769714E-6
22,56,7.547016722716624E-6,8.570896430769714E-6
22,57,7.547037056092515E-6,8.570896430769714E-6
22,58,7.547057509962596E-6,8.570896430769714E-6
22,59,7.547077963015471E-6,8.570896430769714E-6
22,60,7.547098415251188E-6,8.570896430769714E-6
22,61,7.547119098270396E-6,8.582490356863438E-6
22,62,7.547139548867318E-6,8.582490356863438E-6
22,63,7.547160602052574E-6,8.60110410918282E-6
22,64,7.547181282590192E-6,8.60110410918282E-6
22,65,7.54720173071955E-6,8.60110410918282E-6
22,66,7.547223651548911E-6,8.644668052659374E-6
22,67,7.547245571502594E-6,8.644668052659374E-6
22,68,7.547267490580653E-6,8.644668052659374E-6
22,69,7.54728940878314E-6,8.644668052659374E-6
22,70,7.547311326110106E-6,8.644668052659374E-6
22,71,7.54733237250082E-6,8.644668052659374E-6
22,72,7.547354288094281E-6,8.644668052659374E-6
22,73,7.547376202812378E-6,8.644668052659374E-6
22,74,7.547397662717936E-6,8.644668052659374E-6
22,75,7.547419575694529E-6,8.644668052659374E-6
22,76,7.5474420709203245E-6,8.67386800737812E-6
22,77,7.547464546605E-6,8.67386800737812E-6
22,78,7.54748702139203E-6,8.67386800737812E-6
22,79,7.547508942638784E-6,8.67386800737812E-6
22,80,7.547531623025768E-6,8.683320042454326E-6
22,81,7.54755409512708E-6,8.683320042454326E-6
22,82,7.5475754324781876E-6,8.683320042454326E-6
22,83,7.547597338404871E-6,8.683320042454326E-6
22,84,7.547618585424872E-6,8.683320042454326E-6
22,85,7.5476410539950995E-6,8.683320042454326E-6
22,86,7.547663540307437E-6,8.683320042454326E-6
22,87,7.547686007082911E-6,8.683320042454326E-6
22,88,7.547708680312199E-6,8.683320042454326E-6
22,89,7.547730812058482E-6,8.683320042454326E-6
22,90,7.547753294783139E-6,8.683320042454326E-6
22,91,7.547775776610103E-6,8.683320042454326E-6
22,92,7.547798446236699E-6,8.683320042454326E-6
22,93,7.547821114958176E-6,8.683320042454326E-6
22,94,7.547843782774587E-6,8.683320042454326E-6
22,95,7.5478664496859865E-6,8.683320042454326E-6
22,96,7.54788911569243E-6,8.683320042454326E-6
22,97,7.54791178079397E-6,8.683320042454326E-6
22,98,7.547934256315989E-6,8.683320042454326E-6
22,99,7.547956919611652E-6,8.683320042454326E-6
22,100,7.547979582002575E-6,8.683320042454326E-6
22,101,7.5480020548254374E-6,8.683320042454326E-6
22,102,7.548024715410807E-6,8.683320042454326E-6
22,103,7.548047375091599E-6,8.683320042454326E-6
22,104,7.548070033867867E-6,8.683320042454326E-6
22,105,7.548092691739665E-6,8.683320042454326E-6
22,106,7.548115348707048E-6,8.683320042454326E-6
22,107,7.548138004770069E-6,8.683320042454326E-6
22,108,7.548160659928783E-6,8.683320042454326E-6
22,109,7.548183314183244E-6,8.683320042454326E-6
22,110,7.5482059675335055E-6,8.683320042454326E-6
22,111,7.548228619979622E-6,8.683320042454326E-6
22,112,7.548251271521649E-6,8.683320042454326E-6
22,113,7.548274485047902E-6,8.71152749916263E-6
22,114,7.5482971347706765E-6,8.71152749916263E-6
22,115,7.548319783589524E-6,8.71152749916263E-6
22,116,7.548342241452546E-6,8.71152749916263E-6
22,117,7.548364876222422E-6,8.71152749916263E-6
22,118,7.548387522333846E-6,8.71152749916263E-6
22,119,7.548410167541558E-6,8.71152749916263E-6
22,120,7.548432372417926E-6,8.71152749916263E-6
22,121,7.548455015827144E-6,8.71152749916263E-6
22,122,7.54847782839337E-6,8.71152749916263E-6
22,123,7.54850046999215E-6,8.71152749916263E-6
22,124,7.548523673452221E-6,8.71152749916263E-6
22,125,7.548547195698707E-6,8.727552756310107E-6
22,126,7.548570347851505E-6,8.727552756310107E-6
22,127,7.548593499080543E-6,8.727552756310107E-6
22,128,7.548617790642069E-6,8.76625660370724E-6
22,129,7.548640989447298E-6,8.76625660370724E-6
22,130,7.548664187326963E-6,8.76625660370724E-6
22,131,7.548687384281119E-6,8.76625660370724E-6
22,132,7.548710580309821E-6,8.76625660370724E-6
22,133,7.548733775413125E-6,8.76625660370724E-6
22,134,7.548756969591086E-6,8.76625660370724E-6
22,135,7.54878016284376E-6,8.76625660370724E-6
22,136,7.5488044468058806E-6,8.76625660370724E-6
22,137,7.548828729799276E-6,8.76625660370724E-6
22,138,7.548853011824008E-6,8.76625660370724E-6
22,139,7.548875868381123E-6,8.76625660370724E-6
22,140,7.548899416714046E-6,8.76625660370724E-6
22,141,7.548922604350313E-6,8.76625660370724E-6
22,142,7.548946882565733E-6,8.76625660370724E-6
22,143,7.548971159812775E-6,8.76625660370724E-6
22,144,7.548995436091496E-6,8.76625660370724E-6
22,145,7.5490197114019545E-6,8.76625660370724E-6
22,146,7.549043985744209E-6,8.76625660370724E-6
22,147,7.549068259118316E-6,8.76625660370724E-6
22,148,7.549092531524334E-6,8.76625660370724E-6
22,149,7.549116802962323E-6,8.76625660370724E-6
22,150,7.549140732157376E-6,8.76625660370724E-6
22,151,7.54916500166628E-6,8.76625660370724E-6
22,152,7.549189270207328E-6,8.76625660370724E-6
22,153,7.549213537780576E-6,8.76625660370724E-6
22,154,7.549237804386082E-6,8.76625660370724E-6
22,155,7.5492626900144765E-6,8.79735161087891E-6
22,156,7.549286954672311E-6,8.79735161087891E-6
22,157,7.549311218362579E-6,8.79735161087891E-6
22,158,7.549334710751732E-6,8.79735161087891E-6
22,159,7.5493589725223965E-6,8.79735161087891E-6
22,160,7.5493834472387446E-6,8.79735161087891E-6
22,161,7.549408735318684E-6,8.81783353703642E-6
22,162,7.549433497177105E-6,8.81783353703642E-6
22,163,7.549457755043748E-6,8.81783353703642E-6
22,164,7.549483040130007E-6,8.81783353703642E-6
22,165,7.549507749992941E-6,8.81783353703642E-6
22,166,7.549531997058546E-6,8.81783353703642E-6
22,167,7.549556704960458E-6,8.81783353703642E-6
22,168,7.549581986058232E-6,8.81783353703642E-6
22,169,7.549606360791903E-6,8.81783353703642E-6
22,170,7.549631639892069E-6,8.81783353703642E-6
22,171,7.5496569179844964E-6,8.81783353703642E-6
22,172,7.549682195069247E-6,8.81783353703642E-6
22,173,7.5497074711463804E-6,8.81783353703642E-6
22,174,7.549731157887025E-6,8.81783353703642E-6
22,175,7.549756431980762E-6,8.81783353703642E-6
22,176,7.54978170506706E-6,8.81783353703642E-6
22,177,7.5498069271526315E-6,8.81783353703642E-6
22,178,7.549832149658262E-6,8.81783353703642E-6
22,179,7.549857419724573E-6,8.81783353703642E-6
22,180,7.549882688783688E-6,8.81783353703642E-6
22,181,7.549907956835665E-6,8.81783353703642E-6
22,182,7.5499332238805655E-6,8.81783353703642E-6
22,183,7.5499584413563205E-6,8.81783353703642E-6
22,184,7.549983657827054E-6,8.81783353703642E-6
22,185,7.5500089218530225E-6,8.81783353703642E-6
22,186,7.550034136312928E-6,8.81783353703642E-6
22,187,7.550059398326252E-6,8.81783353703642E-6
22,188,7.550084659332861E-6,8.81783353703642E-6
22,189,7.550109919332815E-6,8.81783353703642E-6
22,190,7.550135129770817E-6,8.81783353703642E-6
22,191,7.5501603877586075E-6,8.81783353703642E-6
22,192,7.550184055091317E-6,8.81783353703642E-6
22,193,7.550209311097891E-6,8.81783353703642E-6
22,194,7.550234566098108E-6,8.81783353703642E-6
22,195,7.55025982009203E-6,8.81783353703642E-6
22,196,7.550285073079717E-6,8.81783353703642E-6
22,197,7.550310325061227E-6,8.81783353703642E-6
22,198,7.550335576036624E-6,8.81783353703642E-6
22,199,7.5503608260059645E-6,8.81783353703642E-6
22,200,7.550386026423626E-6,8.81783353703642E-6
22,201,7.550411274382004E-6,8.81783353703642E-6
22,202,7.550436521334508E-6,8.81783353703642E-6
22,203,7.550461904451286E-6,8.824719749858562E-6
22,204,7.5504871493894884E-6,8.824719749858562E-6
22,205,7.550512393321996E-6,8.824719749858562E-6
22,206,7.55053763624887E-6,8.824719749858562E-6
22,207,7.550562878170169E-6,8.824719749858562E-6
22,208,7.55058956048659E-6,8.890201938715208E-6
22,209,7.550614800368213E-6,8.890201938715208E-6
22,210,7.550640176395409E-6,8.890201938715208E-6
22,211,7.550666680596938E-6,8.890201938715208E-6
22,212,7.550693657241312E-6,8.905190971316774E-6
22,213,7.550720159322048E-6,8.905190971316774E-6
22,214,7.550746660347197E-6,8.905190971316774E-6
22,215,7.550773335284035E-6,8.905190971316774E-6
22,216,7.550798705122022E-6,8.905190971316774E-6
22,217,7.550823936817735E-6,8.905190971316774E-6
22,218,7.550850608622142E-6,8.905190971316774E-6
22,219,7.550876738991353E-6,8.905190971316774E-6
22,220,7.550903408682102E-6,8.905190971316774E-6
22,221,7.550930822649801E-6,8.92763286653853E-6
22,222,7.5509582355257665E-6,8.92763286653853E-6
22,223,7.550984727061341E-6,8.92763286653853E-6
22,224,7.5510118113767145E-6,8.92763286653853E-6
22,225,7.55103847572299E-6,8.92763286653853E-6
22,226,7.5510663066934735E-6,8.948848968233297E-6
22,227,7.551094136555727E-6,8.948848968233297E-6
22,228,7.5511215429054986E-6,8.948848968233297E-6
22,229,7.551149370559901E-6,8.948848968233297E-6
22,230,7.551177037020633E-6,8.948848968233297E-6
22,231,7.551204862462226E-6,8.948848968233297E-6
22,232,7.551232491813377E-6,8.948848968233297E-6
22,233,7.55126031504312E-6,8.948848968233297E-6
22,234,7.5512883390053475E-6,8.958988009629186E-6
22,235,7.551315737670147E-6,8.958988009629186E-6
22,236,7.551343557581176E-6,8.958988009629186E-6
22,237,7.5513713763846366E-6,8.958988009629186E-6
22,238,7.551398943862257E-6,8.958988009629186E-6
22,239,7.5514267604557595E-6,8.958988009629186E-6
22,240,7.551454380990398E-6,8.958988009629186E-6
22,241,7.551482000425492E-6,8.958988009629186E-6
22,242,7.551510015512955E-6,8.958988009629186E-6
22,243,7.551538029485211E-6,8.958988009629186E-6
22,244,7.551565645606276E-6,8.958988009629186E-6
22,245,7.551593220944406E-6,8.958988009629186E-6
22,246,7.551621035637302E-6,8.958988009629186E-6
22,247,7.5516485944843365E-6,8.958988009629186E-6
22,248,7.5516766029110116E-6,8.958988009629186E-6
22,249,7.551704610222879E-6,8.958988009629186E-6
22,250,7.551731775078008E-6,8.958988009629186E-6
22,251,7.551758938851949E-6,8.958988009629186E-6
22,252,7.551786640248596E-6,8.958988009629186E-6
22,253,7.551814643141403E-6,8.958988009629186E-6
22,254,7.551842644919734E-6,8.958988009629186E-6
22,255,7.5518706455836555E-6,8.958988009629186E-6
22,256,7.551898645133234E-6,8.958988009629186E-6
22,257,7.551926628677649E-6,8.958988009629186E-6
22,258,7.551954611108448E-6,8.958988009629186E-6
22,259,7.551982607315987E-6,8.958988009629186E-6
22,260,7.552010602409449E-6,8.958988009629186E-6
22,261,7.5520385963889005E-6,8.958988009629186E-6
22,262,7.552065748113284E-6,8.958988009629186E-6
22,263,7.552093739881647E-6,8.958988009629186E-6
22,264,7.5521217305362E-6,8.958988009629186E-6
22,265,7.5521497200770055E-6,8.958988009629186E-6
22,266,7.552177708504133E-6,8.958988009629186E-6
22,267,7.552204604697399E-6,8.958988009629186E-6
